"Dimension","Baseline","Period","emmean","SE","df","lower.CL","upper.CL","P","R2m","R2random","R2c"
"Taxonomic","HC","1",0.673,0.006,101.401,0.662,0.684,0,0.009,0.497,0.503
"Taxonomic","HC","2",0.67,0.006,111.851,0.658,0.682,0.632,0.009,0.497,0.503
"Taxonomic","HC","3",0.664,0.006,101.401,0.653,0.675,0.11,0.009,0.497,0.503
"Taxonomic","HB","1",0.662,0.006,95.587,0.649,0.674,0,0.006,0.546,0.547
"Taxonomic","HB","2",0.67,0.006,105.835,0.657,0.683,0.169,0.006,0.546,0.547
"Taxonomic","HB","3",0.664,0.006,95.587,0.651,0.676,0.725,0.006,0.546,0.547
"Trait","HC","1",0.23,0.009,98.345,0.212,0.248,0,0,0.529,0.523
"Trait","HC","2",0.231,0.009,108.728,0.212,0.25,0.927,0,0.529,0.523
"Trait","HC","3",0.232,0.009,98.345,0.214,0.25,0.884,0,0.529,0.523
"Trait","HB","1",0.217,0.009,82.656,0.199,0.234,0,0.012,0.642,0.658
"Trait","HB","2",0.232,0.009,91.345,0.214,0.251,0.049,0.012,0.642,0.658
"Trait","HB","3",0.232,0.009,82.656,0.214,0.249,0.047,0.012,0.642,0.658
"Phylogenetic","HC","1",0.218,0.02,113.974,0.178,0.258,0,0.006,0.405,0.407
"Phylogenetic","HC","2",0.229,0.022,123.768,0.186,0.271,0.651,0.006,0.405,0.407
"Phylogenetic","HC","3",0.245,0.02,113.974,0.205,0.285,0.227,0.006,0.405,0.407
"Phylogenetic","HB","1",0.212,0.02,101.614,0.173,0.251,0,0.009,0.494,0.502
"Phylogenetic","HB","2",0.23,0.021,112.066,0.188,0.271,0.397,0.009,0.494,0.502
"Phylogenetic","HB","3",0.245,0.02,101.614,0.206,0.284,0.097,0.009,0.494,0.502
