"Dim","Period","Df","SumOfSqs","R2","F","Pr(>F)"
"Taxonomic","ContN",1,0.319237237847756,0.00707076586728257,0.690748409402492,0.879120879120879
"Taxonomic","ContN",97,44.8296538214519,0.992929234132717,NA,NA
"Taxonomic","ContN",98,45.1488910592997,1,NA,NA
"Taxonomic","ContAll",1,1.04092695444947,0.021442719121328,2.27890878969875,0.001998001998002
"Taxonomic","ContAll",104,47.5036139015706,0.978557280878672,NA,NA
"Taxonomic","ContAll",105,48.5445408560201,1,NA,NA
"Trait","ContN",1,0.0622636498077319,0.0110310152062715,1.08194340920763,0.338661338661339
"Trait","ContN",97,5.58215335474259,0.988968984793729,NA,NA
"Trait","ContN",98,5.64441700455032,1,NA,NA
"Trait","ContAll",1,0.362826265466927,0.056593111402035,6.23875409109912,0.000999000999000999
"Trait","ContAll",104,6.04831205999861,0.943406888597965,NA,NA
"Trait","ContAll",105,6.41113832546553,1,NA,NA
"Phylogenetic","ContN",1,0.230350967085712,0.0322780298815807,3.23540127763163,0.028971028971029
"Phylogenetic","ContN",97,6.90611206770317,0.967721970118419,NA,NA
"Phylogenetic","ContN",98,7.13646303478888,1,NA,NA
"Phylogenetic","ContAll",1,0.654334807849177,0.0850922699694408,9.67266510747073,0.000999000999000999
"Phylogenetic","ContAll",104,7.03537435238557,0.914907730030559,NA,NA
"Phylogenetic","ContAll",105,7.68970916023474,1,NA,NA
