"Dim","Period","Df","SumOfSqs","R2","F","Pr(>F)"
"Taxonomic","ContN",1,2.30759782125058,0.0378391418239475,5.1911971665835,0.000999000999000999
"Taxonomic","ContN",132,58.676814351389,0.962160858176053,NA,NA
"Taxonomic","ContN",133,60.9844121726395,1,NA,NA
"Taxonomic","ContAll",1,1.99141304495258,0.0323228826256346,4.40913650842602,0.000999000999000999
"Taxonomic","ContAll",132,59.6185945777348,0.967677117374365,NA,NA
"Taxonomic","ContAll",133,61.6100076226874,1,NA,NA
"Trait","ContN",1,3.2191761911801,0.139622670870769,21.4210578672433,0.000999000999000999
"Trait","ContN",132,19.8370808701082,0.860377329129231,NA,NA
"Trait","ContN",133,23.0562570612883,1,NA,NA
"Trait","ContAll",1,1.75992568932637,0.0931360150435673,13.5565577525295,0.000999000999000999
"Trait","ContAll",132,17.1363701045522,0.906863984956433,NA,NA
"Trait","ContAll",133,18.8962957938786,1,NA,NA
"Phylogenetic","ContN",1,3.60980252844156,0.146233519616707,22.6090213576192,0.000999000999000999
"Phylogenetic","ContN",132,21.0753896074192,0.853766480383293,NA,NA
"Phylogenetic","ContN",133,24.6851921358607,1,NA,NA
"Phylogenetic","ContAll",1,2.21436746783711,0.108264521676501,16.0259597253725,0.000999000999000999
"Phylogenetic","ContAll",132,18.2389392437903,0.891735478323499,NA,NA
"Phylogenetic","ContAll",133,20.4533067116274,1,NA,NA
