"Dim","Period","Df","SumOfSqs","R2","F","Pr(>F)"
"Taxonomic","ContN",1,0.266231667584026,0.0060036200823959,0.585868479763151,0.000999000999000999
"Taxonomic","ContN",97,44.0789573900452,0.993996379917604,NA,NA
"Taxonomic","ContN",98,44.3451890576292,1,NA,NA
"Taxonomic","ContAll",1,1.00580216639538,0.0210600739309903,2.23736679902112,0.000999000999000999
"Taxonomic","ContAll",104,46.7529174701639,0.97893992606901,NA,NA
"Taxonomic","ContAll",105,47.7587196365592,1,NA,NA
"Trait","ContN",1,0.105043856677287,0.0196403010758052,1.94327572465871,0.000999000999000999
"Trait","ContN",97,5.24333936167827,0.980359698924195,NA,NA
"Trait","ContN",98,5.34838321835556,1,NA,NA
"Trait","ContAll",1,0.301571431779057,0.050169347042753,5.49320247372682,0.000999000999000999
"Trait","ContAll",104,5.70949806693429,0.949830652957247,NA,NA
"Trait","ContAll",105,6.01106949871334,1,NA,NA
"Phylogenetic","ContN",1,0.377750259328036,0.0537510117865359,5.51001713950345,0.000999000999000999
"Phylogenetic","ContN",97,6.65002925165522,0.946248988213464,NA,NA
"Phylogenetic","ContN",98,7.02777951098325,1,NA,NA
"Phylogenetic","ContAll",1,0.670448471082191,0.089996224084926,10.2852400754278,0.000999000999000999
"Phylogenetic","ContAll",104,6.77929153633761,0.910003775915074,NA,NA
"Phylogenetic","ContAll",105,7.44974000741981,1,NA,NA
