"Dim","Period","Df","SumOfSqs","R2","F","Pr(>F)"
"Taxonomic","ContN",1,2.40809592414888,0.0399417545149241,5.49165805383621,0.000999000999000999
"Taxonomic","ContN",132,57.882092961998,0.960058245485076,NA,NA
"Taxonomic","ContN",133,60.2901888861469,1,NA,NA
"Taxonomic","ContAll",1,2.06407121428766,0.0338995056334741,4.631748735987,0.000999000999000999
"Taxonomic","ContAll",132,58.8238731883439,0.966100494366526,NA,NA
"Taxonomic","ContAll",133,60.8879444026315,1,NA,NA
"Trait","ContN",1,3.29985257198656,0.144691190908225,22.3302238874011,0.000999000999000999
"Trait","ContN",132,19.5063220905718,0.855308809091775,NA,NA
"Trait","ContN",133,22.8061746625584,1,NA,NA
"Trait","ContAll",1,1.74284124324888,0.0939615440605961,13.6891803374273,0.000999000999000999
"Trait","ContAll",132,16.8056113250158,0.906038455939404,NA,NA
"Trait","ContAll",133,18.5484525682647,1,NA,NA
"Phylogenetic","ContN",1,3.78345513679113,0.15409012926457,24.044993168409,0.000999000999000999
"Phylogenetic","ContN",132,20.7700652921198,0.84590987073543,NA,NA
"Phylogenetic","ContN",133,24.5535204289109,1,NA,NA
"Phylogenetic","ContAll",1,2.27848976766709,0.112728971174397,16.770776585274,0.000999000999000999
"Phylogenetic","ContAll",132,17.9336149284909,0.887271028825603,NA,NA
"Phylogenetic","ContAll",133,20.212104696158,1,NA,NA
