"Dimension","Baseline","Period","emmean","SE","df","lower.CL","upper.CL","P","R2m","R2c1","R2c2"
"Taxonomic","HC","1",0.667,0.013,161.545,0.641,0.694,0,0.00994169651649503,0.333086424039179,0.342507534043916
"Taxonomic","HC","2",0.642,0.013,161.545,0.616,0.669,0.106,0.00994169651649503,0.333086424039179,0.342507534043916
"Taxonomic","HC","3",0.663,0.013,161.545,0.637,0.689,0.772,0.00994169651649503,0.333086424039179,0.342507534043916
"Taxonomic","HB","1",0.658,0.013,165.708,0.631,0.684,0,0.00621325617881778,0.312654319838692,0.316421610689015
"Taxonomic","HB","2",0.642,0.013,165.708,0.616,0.669,0.336,0.00621325617881778,0.312654319838692,0.316421610689015
"Taxonomic","HB","3",0.663,0.013,165.708,0.636,0.689,0.74,0.00621325617881778,0.312654319838692,0.316421610689015
"Trait","HC","1",0.226,0.028,155.358,0.171,0.282,0,0.137485620789498,0.255378372110179,0.457008884258255
"Trait","HC","2",0.446,0.028,155.358,0.39,0.502,0,0.137485620789498,0.255378372110179,0.457008884258255
"Trait","HC","3",0.381,0.028,155.358,0.325,0.437,0,0.137485620789498,0.255378372110179,0.457008884258255
"Trait","HB","1",0.215,0.028,150.406,0.159,0.271,0,0.150282118475984,0.267328551665876,0.488270911267976
"Trait","HB","2",0.446,0.028,150.406,0.39,0.502,0,0.150282118475984,0.267328551665876,0.488270911267976
"Trait","HB","3",0.381,0.028,150.406,0.325,0.437,0,0.150282118475984,0.267328551665876,0.488270911267976
"Phylogenetic","HC","1",0.226,0.03,138.531,0.165,0.286,0,0.127531056607707,0.34491836237743,0.531742158428243
"Phylogenetic","HC","2",0.449,0.03,138.531,0.389,0.51,0,0.127531056607707,0.34491836237743,0.531742158428243
"Phylogenetic","HC","3",0.393,0.03,138.531,0.333,0.453,0,0.127531056607707,0.34491836237743,0.531742158428243
"Phylogenetic","HB","1",0.219,0.03,136.081,0.159,0.279,0,0.136937208799373,0.347577326843932,0.548598758672846
"Phylogenetic","HB","2",0.45,0.03,136.081,0.39,0.509,0,0.136937208799373,0.347577326843932,0.548598758672846
"Phylogenetic","HB","3",0.393,0.03,136.081,0.334,0.453,0,0.136937208799373,0.347577326843932,0.548598758672846
